station,latitude,longitude,sensor_serial_number,timestamp_utc,sensor_depth_at_low_tide_m,temperature_degree_c,qc_flag_temperature_degree_c
Church Point 2,44.32015,-66.135067,20495220,2020-02-25 21:00:00,2,2.664,Pass
Church Point 2,44.32015,-66.135067,20495220,2020-02-25 21:15:00,2,2.69,Pass
Church Point 2,44.32015,-66.135067,20495220,2020-02-25 21:30:00,2,2.664,Pass
Church Point 2,44.32015,-66.135067,20495220,2020-02-25 21:45:00,2,2.69,Pass
Church Point 2,44.32015,-66.135067,20495220,2020-02-25 22:00:00,2,2.557,Pass
Church Point 2,44.32015,-66.135067,20495220,2020-02-25 22:15:00,2,2.557,Pass
Church Point 2,44.32015,-66.135067,20495220,2020-02-25 22:30:00,2,2.61,Pass
Church Point 2,44.32015,-66.135067,20495220,2020-02-25 22:45:00,2,2.584,Pass
Church Point 2,44.32015,-66.135067,20495220,2020-02-25 23:00:00,2,2.584,Pass
Church Point 2,44.32015,-66.135067,20495220,2020-02-25 23:15:00,2,2.637,Pass
Church Point 2,44.32015,-66.135067,20495220,2020-02-25 23:30:00,2,2.637,Pass
Church Point 2,44.32015,-66.135067,20495220,2020-02-25 23:45:00,2,2.664,Pass
Church Point 2,44.32015,-66.135067,20495220,2020-02-26 00:00:00,2,2.664,Pass
Church Point 2,44.32015,-66.135067,20495220,2020-02-26 00:15:00,2,2.69,Pass
Church Point 2,44.32015,-66.135067,20495220,2020-02-26 00:30:00,2,2.69,Pass
Church Point 2,44.32015,-66.135067,20495220,2020-02-26 00:45:00,2,2.717,Pass
Church Point 2,44.32015,-66.135067,20495220,2020-02-26 01:00:00,2,2.717,Pass
Church Point 2,44.32015,-66.135067,20495220,2020-02-26 01:15:00,2,2.717,Pass
Church Point 2,44.32015,-66.135067,20495220,2020-02-26 01:30:00,2,2.717,Pass
Church Point 2,44.32015,-66.135067,20495220,2020-02-26 01:45:00,2,2.717,Pass
Church Point 2,44.32015,-66.135067,20495220,2020-02-26 02:00:00,2,2.69,Pass
Church Point 2,44.32015,-66.135067,20495220,2020-02-26 02:15:00,2,2.69,Pass
Church Point 2,44.32015,-66.135067,20495220,2020-02-26 02:30:00,2,2.69,Pass
Church Point 2,44.32015,-66.135067,20495220,2020-02-26 02:45:00,2,2.69,Pass
Church Point 2,44.32015,-66.135067,20495220,2020-02-26 03:00:00,2,2.69,Pass
Church Point 2,44.32015,-66.135067,20495220,2020-02-26 03:15:00,2,2.717,Pass
Church Point 2,44.32015,-66.135067,20495220,2020-02-26 03:30:00,2,2.717,Pass
Church Point 2,44.32015,-66.135067,20495220,2020-02-26 03:45:00,2,2.717,Pass
Church Point 2,44.32015,-66.135067,20495220,2020-02-26 04:00:00,2,2.717,Pass
Church Point 2,44.32015,-66.135067,20495220,2020-02-26 04:15:00,2,2.717,Pass
Church Point 2,44.32015,-66.135067,20495220,2020-02-26 04:30:00,2,2.717,Pass
Church Point 2,44.32015,-66.135067,20495220,2020-02-26 04:45:00,2,2.717,Pass
Church Point 2,44.32015,-66.135067,20495220,2020-02-26 05:00:00,2,2.744,Pass
Church Point 2,44.32015,-66.135067,20495220,2020-02-26 05:15:00,2,2.744,Pass
